Order_ID,Order_Date,Year,Month_No,Month,Ship_Date,Delivery_Days,Customer_ID,Customer_Name,Gender,Age,Age_Group,City,State,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Sales_Category,Profit,Profit_Margin,Ship_Mode,Payment_Mode,Rating,Returned
ORD00002,2025-01-12,2025,1,Jan,2025-01-13,1,CUST2535,Misha Wali,Male,32,Senior,Lucknow,Uttar Pradesh,North,Sports,Cricket Bat,4,2500,25,7500,Low,1669.05,0.22254,Express,Cash,5,No
ORD00013,2025-01-15,2025,1,Jan,2025-01-17,2,CUST1949,Anika Gill,Male,54,Senior,Bengaluru,Karnataka,South,Electronics,Smart TV,2,40000,20,64000,High,11645.31,0.18195796875,Same Day,Card,2,No
ORD00019,2025-01-17,2025,1,Jan,2025-01-24,7,CUST2604,Kiara Kala,Male,59,Senior,Lucknow,Uttar Pradesh,North,Electronics,Laptop,4,55000,5,209000,High,64320.81,0.307755071770335,Express,Card,4,No
ORD00022,2025-01-31,2025,1,Jan,2025-02-01,1,CUST9320,Badal Bhardwaj,Male,29,Senior,Bengaluru,Karnataka,South,Sports,Cricket Bat,4,2500,15,8500,Low,3468.34,0.40804,Same Day,Card,5,No
ORD00037,2025-01-04,2025,1,Jan,2025-01-08,4,CUST8244,Armaan Basu,Male,50,Senior,Jaipur,Rajasthan,North,Furniture,Office Chair,5,7000,20,28000,High,6094.23,0.217651071428571,Standard,Cash,5,No
ORD00052,2026-01-31,2026,1,Jan,2026-02-03,3,CUST8385,Navya Swaminathan,Male,47,Senior,Kolkata,West Bengal,East,Sports,Tennis Racket,6,3200,0,19200,High,5318.26,0.276992708333333,Standard,UPI,3,No
ORD00085,2025-01-13,2025,1,Jan,2025-01-19,6,CUST7511,Mahika Barad,Female,23,Senior,Delhi,Delhi,North,Electronics,Headphones,2,2000,15,3400,Low,1091.38,0.320994117647059,Same Day,UPI,3,No
ORD00098,2025-01-08,2025,1,Jan,2025-01-13,5,CUST6400,Madhup Ranganathan,Male,44,Senior,Ahmedabad,Gujarat,West,Groceries,Rice Bag,5,1200,20,4800,Low,1635.09,0.34064375,Standard,Card,1,No
ORD00101,2025-01-03,2025,1,Jan,2025-01-05,2,CUST1502,Ivan Deo,Male,65,Senior,Lucknow,Uttar Pradesh,North,Furniture,Bookshelf,7,5000,15,29750,High,9837.92,0.330686386554622,Express,Cash,3,No
ORD00104,2025-01-18,2025,1,Jan,2025-01-19,1,CUST4349,Trisha Balay,Female,31,Senior,Chennai,Tamil Nadu,South,Clothing,Jacket,6,3500,0,21000,High,9393.19,0.447294761904762,Express,Cash,4,No
